Date,Open,High,Low,Close,Volume
2011-01-03,11882.1,11912.15,11826.95,11855.75,0
2011-01-04,11868.4,11872.8,11545.55,11564.05,0
2011-01-05,11545.75,11545.75,11265.55,11305.45,0
2011-01-06,11350.7,11377.1,11164.75,11186.8,0
2011-01-07,11146.45,11258.5,11007.9,11053.35,0
2011-01-10,11024.5,11072.7,10671.6,10700.65,0
2011-01-11,10734.2,10951.2,10620.8,10833.55,0
2011-01-12,10906.4,11161.15,10728.45,11128.15,0
2011-01-13,11125.95,11127.95,10676.5,10716.65,0
2011-01-14,10746.8,10907.3,10387.9,10432.9,0
2011-01-17,10459.6,10571.8,10373.8,10471.1,0
2011-01-18,10534.3,10677.95,10520.3,10618.5,0
2011-01-19,10646.0,10715.05,10562.25,10615.15,0
2011-01-20,10579.25,10878.8,10493.25,10798.35,0
2011-01-21,10750.4,10923.7,10740.0,10889.4,0
2011-01-24,10923.75,11177.85,10913.45,11151.15,0
2011-01-25,11183.55,11256.95,10849.4,10872.95,0
2011-01-27,10946.4,10970.85,10639.85,10676.15,0
2011-01-28,10690.05,10736.4,10481.1,10578.25,0
2011-01-31,10444.35,10696.3,10400.25,10641.85,0
2011-02-01,10683.45,10683.45,10457.8,10481.2,0
2011-02-02,10599.0,10614.95,10418.2,10470.15,0
2011-02-03,10460.95,10704.3,10429.5,10670.6,0
2011-02-04,10632.9,10772.45,10385.9,10433.85,0
2011-02-07,10457.8,10509.8,10354.6,10384.05,0
2011-02-08,10431.05,10431.05,10119.45,10147.75,0
2011-02-09,10131.35,10294.8,10038.15,10116.65,0
2011-02-10,10106.25,10227.75,10017.85,10074.1,0
2011-02-11,10061.4,10473.45,10061.4,10447.75,0
2011-02-14,10477.85,10815.7,10477.85,10802.55,0
2011-02-15,10821.5,11035.15,10722.7,10959.7,0
2011-02-16,10929.25,11024.25,10908.65,10960.7,0
2011-02-17,10996.25,11190.2,10918.1,11134.7,0
2011-02-18,11153.8,11300.45,10915.35,10949.7,0
2011-02-21,10935.3,11070.35,10806.3,11050.1,0
2011-02-22,10957.5,10957.5,10777.65,10836.8,0
2011-02-23,10776.8,10857.85,10628.65,10646.45,0
2011-02-24,10603.25,10643.25,10169.0,10210.75,0
2011-02-25,10329.65,10510.5,10263.15,10435.85,0
2011-02-28,10512.2,10744.85,10364.35,10435.35,0
2011-03-01,10541.95,10906.15,10528.35,10885.4,0
2011-03-03,10805.0,11066.4,10759.7,10914.5,0
2011-03-04,11008.9,11134.1,10924.1,10963.4,0
2011-03-07,10886.1,10886.1,10658.3,10782.25,0
2011-03-08,10782.6,10962.7,10779.15,10931.55,0
2011-03-09,10987.4,11054.0,10904.6,10974.8,0
2011-03-10,10920.65,10920.65,10783.3,10850.25,0
2011-03-11,10772.9,10904.2,10697.1,10740.95,0
2011-03-14,10730.4,10916.65,10730.4,10893.25,0
2011-03-15,10673.9,10784.2,10591.3,10725.8,0
2011-03-16,10777.1,11001.25,10777.1,10957.6,0
2011-03-17,10881.85,11018.3,10824.4,10851.95,0
2011-03-18,10882.0,10927.25,10699.4,10715.9,0
2011-03-21,10795.65,10814.75,10661.15,10723.6,0
2011-03-22,10759.95,10822.25,10726.25,10771.3,0
2011-03-23,10755.85,10972.3,10744.7,10958.1,0
2011-03-24,11001.75,11112.6,11001.75,11070.35,0
2011-03-25,11179.2,11420.4,11136.45,11387.3,0
2011-03-28,11348.85,11599.0,11348.15,11523.4,0
2011-03-29,11522.75,11657.6,11507.45,11582.5,0
2011-03-30,11625.5,11801.65,11625.5,11765.2,0
2011-03-31,11804.95,11898.4,11569.25,11705.45,0
2011-04-01,11713.05,11738.45,11540.85,11590.95,0
2011-04-04,11614.45,11840.7,11614.45,11804.3,0
2011-04-05,11853.6,11861.15,11678.1,11798.9,0
2011-04-06,11784.55,11838.05,11686.55,11730.05,0
2011-04-07,11724.75,11825.0,11656.7,11754.4,0
2011-04-08,11751.8,11853.35,11632.55,11673.25,0
2011-04-11,11591.0,11637.0,11551.75,11597.8,0
2011-04-13,11531.45,11856.35,11490.55,11839.5,0
2011-04-15,11810.1,11950.7,11707.6,11735.65,0
2011-04-18,11754.2,11887.1,11525.05,11539.75,0
2011-04-19,11562.95,11631.15,11482.15,11586.75,0
2011-04-20,11678.7,11813.7,11614.6,11794.55,0
2011-04-21,11857.45,11926.05,11836.95,11894.75,0
2011-04-25,11860.35,11978.05,11860.35,11879.0,0
2011-04-26,11903.8,11912.45,11709.8,11867.7,0
2011-04-27,11922.3,11936.35,11732.25,11779.85,0
2011-04-28,11851.75,11855.2,11659.5,11684.8,0
2011-04-29,11671.05,11723.25,11406.85,11483.75,0
2011-05-02,11509.3,11543.35,11204.65,11243.8,0
2011-05-03,11222.05,11349.5,10849.15,10898.3,0
2011-05-04,10888.45,11013.4,10797.6,10913.35,0
2011-05-05,10909.05,10987.6,10677.3,10730.1,0
2011-05-06,10751.3,11167.4,10751.3,11130.6,0
2011-05-09,11194.45,11213.5,10956.35,11076.5,0
2011-05-10,11068.6,11096.9,10945.7,11009.4,0
2011-05-11,11036.15,11097.25,10904.1,11059.05,0
2011-05-12,11009.3,11076.0,10865.15,10887.45,0
